url,domain_name,ip,dport,country,having_ip_address,hostname_length,count_dir,count-www,fd_length,url_length,abnormal_url,count-http,count-letters,tld-length,count.,count-digits,count-,count=,count-https,sus_url,count?,count%,short_url,count@,count_embed_domain,malicous
https://210a1.fate.truelance.com/subscribeEvent,210a1.fate.truelance.com,45.9.190.217,80,NL,False,24,1,0,14,47,1,1,36,3,3,4,0,0,1,0,0,0,0,0,0,True
http://38.55.204.16/jack5tr.sh,38.55.204.16,38.55.204.16,80,HK,True,12,1,0,10,30,1,1,12,-1,4,10,0,0,0,0,0,0,0,0,0,True
https://vk.com/doc16081047_653446389?hash=pQIx8D4RdzZJeapzCQHlnMoaNZRinu7RVOliLxOclSD&dl=GE3DAOBRGA2DO:1671608751:xzSbIb6Ih8x0rJZctpkw7izFITZxxNqb2BOPlZokPQP&api=1&no_preview=1#redcl,vk.com,93.186.225.194,80,RU,False,6,1,0,21,182,1,1,125,3,1,39,0,4,1,0,1,0,0,0,0,True
https://vk.com/doc16081047_653449642?hash=JbS6uQOaXWOegXRORL5XEk7l2qxZzCWgG2j8wrZ5Qu4&dl=GE3DAOBRGA2DO:1671611882:2g3m6O53XWlroDhMxas1aZp83V8YDqTIuc3ZYGKEh4z&api=1&no_preview=1#ustan10k,vk.com,87.240.129.133,80,RU,False,6,1,0,21,185,1,1,115,3,1,52,0,4,1,0,1,0,0,0,0,True
https://vk.com/doc16081047_653456188?hash=6BRpLhdDIRVi1me7sfpAf1DpFJKWnX1tFBydGsPDkML&dl=GE3DAOBRGA2DO:1671617388:gqWiywzRzuyLlCFL5QzffUA3Ed43pzkPJiyBVlaODyc&api=1&no_preview=1#v52_2,vk.com,87.240.137.164,80,RU,False,6,1,0,21,182,1,1,120,3,1,43,0,4,1,0,1,0,0,0,0,True
https://vk.com/doc455916046_655156853?hash=F5wxKf7voOx8ZQGJdzm9Dryy15vZfvo4gZnBNtwlRWk&dl=GQ2TKOJRGYYDINQ:1670866704:8ASNHPuUtIam5W1JvvJs5silA19XFN18R218VXYNSJD&api=1&no_preview=1#kisww7,vk.com,87.240.132.67,80,RU,False,6,1,0,22,186,1,1,118,3,1,50,0,4,1,0,1,0,0,0,0,True
http://117.193.117.207:44864/bin.sh,117.193.117.207,117.193.117.207,44864,IN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://61.3.112.42:43646/Mozi.m,61.3.112.42,61.3.112.42,43646,IN,True,11,1,0,6,31,1,1,9,-1,4,13,0,0,0,0,0,0,0,0,0,True
http://58.253.7.253:57815/Mozi.m,58.253.7.253,58.253.7.253,57815,CN,True,12,1,0,6,32,1,1,9,-1,4,14,0,0,0,0,0,0,0,0,0,True
http://117.194.154.23:35078/Mozi.m,117.194.154.23,117.194.154.23,35078,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.208.140.177:51185/Mozi.m,117.208.140.177,117.208.140.177,51185,IN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://117.221.120.28:54633/Mozi.m,117.221.120.28,117.221.120.28,54633,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://112.248.184.190:35818/Mozi.m,112.248.184.190,112.248.184.190,35818,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://202.164.139.82:43390/mozi.m,202.164.139.82,202.164.139.82,43390,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://39.90.148.161:38381/bin.sh,39.90.148.161,39.90.148.161,38381,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://39.34.255.146:36277/Mozi.m,39.34.255.146,39.34.255.146,36277,PK,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://27.40.76.4:41610/Mozi.m,27.40.76.4,27.40.76.4,41610,CN,True,10,1,0,6,30,1,1,9,-1,4,12,0,0,0,0,0,0,0,0,0,True
http://27.45.93.6:34781/Mozi.a,27.45.93.6,27.45.93.6,34781,CN,True,10,1,0,6,30,1,1,9,-1,4,12,0,0,0,0,0,0,0,0,0,True
http://59.93.22.62:45863/Mozi.m,59.93.22.62,59.93.22.62,45863,IN,True,11,1,0,6,31,1,1,9,-1,4,13,0,0,0,0,0,0,0,0,0,True
http://27.45.112.252:37056/Mozi.m,27.45.112.252,27.45.112.252,37056,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://42.227.203.43:55785/Mozi.m,42.227.203.43,42.227.203.43,55785,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://182.240.197.162:33966/Mozi.m,182.240.197.162,182.240.197.162,33966,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://117.253.148.29:33462/Mozi.m,117.253.148.29,117.253.148.29,33462,IN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.194.157.103:49705/Mozi.m,117.194.157.103,117.194.157.103,49705,IN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://116.73.95.166:33815/Mozi.m,116.73.95.166,116.73.95.166,33815,IN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://112.242.86.94:34007/Mozi.m,112.242.86.94,112.242.86.94,34007,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
http://182.114.82.139:33187/bin.sh,182.114.82.139,182.114.82.139,33187,CN,True,14,1,0,6,34,1,1,9,-1,4,16,0,0,0,0,0,0,0,0,0,True
http://117.195.91.252:40425/i,117.195.91.252,117.195.91.252,40425,IN,True,14,1,0,1,29,1,1,5,-1,3,16,0,0,0,0,0,0,0,0,0,True
http://119.179.223.131:56178/i,119.179.223.131,119.179.223.131,56178,CN,True,15,1,0,1,30,1,1,5,-1,3,17,0,0,0,0,0,0,0,0,0,True
http://119.185.137.145:44482/bin.sh,119.185.137.145,119.185.137.145,44482,CN,True,15,1,0,6,35,1,1,9,-1,4,17,0,0,0,0,0,0,0,0,0,True
http://27.43.108.240:52396/Mozi.m,27.43.108.240,27.43.108.240,52396,CN,True,13,1,0,6,33,1,1,9,-1,4,15,0,0,0,0,0,0,0,0,0,True
